GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
1588852410,SushiGo,3,GAME_OVER,101,0,4,162,mcts,37.0,66.0,20.0,29.0,GroupZOSLAPlayer,random,random,2,mcts,2,1,1,4,4,3,GroupZOSLAPlayer,3,random,random,GroupZOSLAPlayer,mcts,random,random,0
-1348972292,SushiGo,3,GAME_OVER,97,0,4,163,GroupZOSLAPlayer,28.0,32.0,31.0,33.0,GroupZOSLAPlayer,random,GroupZOSLAPlayer,4,GroupZOSLAPlayer,4,2,2,3,3,1,GroupZOSLAPlayer,1,random,GroupZOSLAPlayer,GroupZOSLAPlayer,GroupZOSLAPlayer,GroupZOSLAPlayer,random,2
935639253,SushiGo,3,GAME_OVER,97,0,4,164,random,44.0,17.0,28.0,41.0,mcts,mcts,GroupZOSLAPlayer,1,random,1,4,4,3,3,2,mcts,2,mcts,GroupZOSLAPlayer,mcts,random,GroupZOSLAPlayer,mcts,1
-424694963,SushiGo,3,GAME_OVER,99,0,4,165,random,49.0,26.0,23.0,25.0,mcts,random,GroupZOSLAPlayer,1,random,1,2,2,4,4,3,mcts,3,random,GroupZOSLAPlayer,mcts,random,GroupZOSLAPlayer,random,1
2099656195,SushiGo,3,GAME_OVER,98,0,4,166,GroupZOSLAPlayer,22.0,22.0,79.0,12.0,random,GroupZOSLAPlayer,mcts,2,GroupZOSLAPlayer,2,2,2,1,1,4,random,4,GroupZOSLAPlayer,mcts,random,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,3
-2137861924,SushiGo,3,GAME_OVER,99,0,4,167,random,51.0,28.0,22.0,20.0,mcts,GroupZOSLAPlayer,random,1,random,1,2,2,3,3,4,mcts,4,GroupZOSLAPlayer,random,mcts,random,random,GroupZOSLAPlayer,1
126743168,SushiGo,3,GAME_OVER,99,0,4,168,GroupZOSLAPlayer,45.0,25.0,25.0,46.0,mcts,mcts,GroupZOSLAPlayer,2,GroupZOSLAPlayer,2,3,3,4,4,1,mcts,1,mcts,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,2
-158096177,SushiGo,3,GAME_OVER,98,0,4,169,random,53.0,17.0,25.0,44.0,mcts,random,GroupZOSLAPlayer,1,random,1,4,4,3,3,2,mcts,2,random,GroupZOSLAPlayer,mcts,random,GroupZOSLAPlayer,random,1
-622682182,SushiGo,3,GAME_OVER,98,0,4,170,random,42.0,10.0,20.0,67.0,mcts,mcts,GroupZOSLAPlayer,2,random,2,4,4,3,3,1,mcts,1,mcts,GroupZOSLAPlayer,mcts,random,GroupZOSLAPlayer,mcts,2
-1603190713,SushiGo,3,GAME_OVER,100,0,4,171,GroupZOSLAPlayer,22.0,30.0,23.0,53.0,GroupZOSLAPlayer,mcts,random,4,GroupZOSLAPlayer,4,2,2,3,3,1,GroupZOSLAPlayer,1,mcts,random,GroupZOSLAPlayer,GroupZOSLAPlayer,random,mcts,2
